job_title,company,location,tags,exp,search_query
Python Developer,Confidential -,"Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Python Developer
AI Developer (Python) - midlevel,Afaqy -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 3 - 6 Yrs of Exp,Python Developer
Middle FullStack (Python) Developer,Vertex Technologies -,"Cairo, Egypt","['Full Time', 'On-site']",· 3+ Yrs of Exp,Python Developer
Python Back End developer,Prometeon tyres group – Egypt -,"Alexandria, Egypt","['Full Time', 'On-site']",· 0 - 4 Yrs of Exp,Python Developer
Business Intelligence Engineer - SQL / PYTHON,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 5+ Yrs of Exp,Python Developer
Full Stack Developer,IMBoX -,"New Cairo, Cairo, Egypt","['Part Time', 'Freelance / Project', 'Hybrid']",· 3 - 7 Yrs of Exp,Python Developer
Odoo Developer,Anecdote agency -,"New Cairo, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Python Developer
Junior Full Stack AI Native Developer-Remote,GNC Management Services -,"Cairo, Egypt","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,Python Developer
BIM Developer,ADC-Architecture&Design Consultants -,"Sheikh Zayed, Giza, Egypt","['Full Time', 'On-site']",· 5 - 7 Yrs of Exp,Python Developer
Mid level Django Backend Developer,Software House Solution -,"Heliopolis, Cairo, Egypt","['Full Time', 'On-site']",· 2 - 7 Yrs of Exp,Python Developer
Junior Full Stack AI Native Developer,GNC Management Services -,"Laventille, Trinidad & Tobago","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,Python Developer
Odoo Developer (Mid-Level),ecoSAS International -,"Giza, Egypt","['Full Time', 'On-site']",· 3+ Yrs of Exp,Python Developer
Senior Python Developer,Advanced control -,"6th of October, Giza, Egypt","['Full Time', 'On-site']",· 5+ Yrs of Exp,Python Developer
AI Engineer,Confidential -,"Sheraton, Cairo, Egypt","['Full Time', 'Part Time', 'Freelance / Project', 'Hybrid']",· 2 - 3 Yrs of Exp,Python Developer
Software Engineer (Technical Content),"CC Global Group, LLC -","New Cairo, Cairo, Egypt","['Full Time', 'Remote']",No Exp,Python Developer
Python Developer,Confidential -,"Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Python Developer
AI Developer (Python) - midlevel,Afaqy -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 3 - 6 Yrs of Exp,Python Developer
Middle FullStack (Python) Developer,Vertex Technologies -,"Cairo, Egypt","['Full Time', 'On-site']",· 3+ Yrs of Exp,Python Developer
Python Back End developer,Prometeon tyres group – Egypt -,"Alexandria, Egypt","['Full Time', 'On-site']",· 0 - 4 Yrs of Exp,Python Developer
Business Intelligence Engineer - SQL / PYTHON,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 5+ Yrs of Exp,Python Developer
Full Stack Developer,IMBoX -,"New Cairo, Cairo, Egypt","['Part Time', 'Freelance / Project', 'Hybrid']",· 3 - 7 Yrs of Exp,Python Developer
Odoo Developer,Anecdote agency -,"New Cairo, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Python Developer
Junior Full Stack AI Native Developer-Remote,GNC Management Services -,"Cairo, Egypt","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,Python Developer
BIM Developer,ADC-Architecture&Design Consultants -,"Sheikh Zayed, Giza, Egypt","['Full Time', 'On-site']",· 5 - 7 Yrs of Exp,Python Developer
Mid level Django Backend Developer,Software House Solution -,"Heliopolis, Cairo, Egypt","['Full Time', 'On-site']",· 2 - 7 Yrs of Exp,Python Developer
Junior Full Stack AI Native Developer,GNC Management Services -,"Laventille, Trinidad & Tobago","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,Python Developer
Odoo Developer (Mid-Level),ecoSAS International -,"Giza, Egypt","['Full Time', 'On-site']",· 3+ Yrs of Exp,Python Developer
Senior Python Developer,Advanced control -,"6th of October, Giza, Egypt","['Full Time', 'On-site']",· 5+ Yrs of Exp,Python Developer
AI Engineer,Confidential -,"Sheraton, Cairo, Egypt","['Full Time', 'Part Time', 'Freelance / Project', 'Hybrid']",· 2 - 3 Yrs of Exp,Python Developer
Software Engineer (Technical Content),"CC Global Group, LLC -","New Cairo, Cairo, Egypt","['Full Time', 'Remote']",No Exp,Python Developer
Senior Data Engineer,GB Corp -,"Giza, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Middle Data Engineer,Vertex Technologies -,"Cairo, Egypt","['Full Time', 'On-site']",· 2+ Yrs of Exp,Data Engineer
Senior Data Engineer,Vertex Technologies -,"Cairo, Egypt","['Full Time', 'On-site']",· 4+ Yrs of Exp,Data Engineer
Data Engineer,Hyundai Rotem -,"Cairo, Egypt","['Full Time', 'On-site']",· 1 - 3 Yrs of Exp,Data Engineer
"Data Center Engineer (Compute, Storage & Data Protection)",Confidential -,"New Capital, Cairo, Egypt","['Full Time', 'On-site']",· 6 - 10 Yrs of Exp,Data Engineer
Infrastructure Network Operations Engineer (Data Center & WAN),Confidential -,"New Capital, Cairo, Egypt","['Full Time', 'On-site']",· 7 - 10 Yrs of Exp,Data Engineer
Planning Engineer,green river for urban development -,"New Capital, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Business Intelligence Engineer - SQL / PYTHON,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 5+ Yrs of Exp,Data Engineer
QS Engineer,Concrete Plus -,"Cairo, Egypt","['Full Time', 'On-site']",· 2 - 4 Yrs of Exp,Data Engineer
Senior Electrical Procurement Engineer,Concrete Plus -,"New Cairo, Cairo, Egypt","['Full Time', 'On-site']",· 5 - 7 Yrs of Exp,Data Engineer
Production Engineer,El Rashidi El Mizan -,"6th of October, Giza, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Senior Storage and Backup Engineer,Anzemah -,"Giza, Egypt","['Full Time', 'On-site']",· 5 - 10 Yrs of Exp,Data Engineer
Senior Security Engineer / Security Team Lead,Anzemah -,"Giza, Egypt","['Full Time', 'On-site']",· 5 - 15 Yrs of Exp,Data Engineer
Senior Sales Engineer – Data Centers & Mission-Critical Infrastructure,Mobi Egypt -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Cost Estimation Engineer (procurement),Aswaq -,"Shorouk City, Cairo, Egypt","['Full Time', 'On-site']",· 6 - 8 Yrs of Exp,Data Engineer
IT Engineer,Musandah FM -,"New Capital, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Traffic Engineer,Seero -,"Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Senior Sales Engineer,Mobi Egypt -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Production Engineer,El-Obour for Paper Production -,"Obour City, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 5 Yrs of Exp,Data Engineer
AI Engineer,Confidential -,"Sheraton, Cairo, Egypt","['Full Time', 'Part Time', 'Freelance / Project', 'Hybrid']",· 2 - 3 Yrs of Exp,Data Engineer
Mechanical Production Engineer,iLock -,"Mit Ghamr, Dakahlia, Egypt","['Full Time', 'On-site']",· 1 - 7 Yrs of Exp,Data Engineer
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt","['Full Time', 'Hybrid']",· 0 - 3 Yrs of Exp,Data Engineer
Splunk Administrator Engineer,Digital cloud for Technology and cybersecurity -,"Cairo, Egypt","['Full Time', 'Hybrid']",· 2 - 7 Yrs of Exp,Data Engineer
AI & Data Science Engineer,Raya Distribution -,"Cairo, Egypt","['Full Time', 'On-site']",· 1+ Yrs of Exp,Data Engineer
Senior Structural Engineer,Main Marks -,"New Cairo, Cairo, Egypt","['Full Time', 'On-site']",· 8 - 10 Yrs of Exp,Data Engineer
Material Engineer (Control),Doosan Enerbility co .LTD -,"Dabaa, Matruh, Egypt","['Full Time', 'On-site']",· 0 - 7 Yrs of Exp,Data Engineer
Principal OR Engineer (Optimization & Decision Intelligence),Makkook.AI -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 7+ Yrs of Exp,Data Engineer
Tech Lead / Principal Engineer – Full‑Stack & AI Systems,Makkook.AI -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 8 - 20 Yrs of Exp,Data Engineer
Production Engineer - Sheet Metal Fabrication,Arcelormittal Egypt -,"Badr City, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Agricultural Engineer - Fruits & Vegetables,Global Zone Link -,"Maadi, Cairo, Egypt","['Full Time', 'Part Time', 'On-site']",· 2 - 4 Yrs of Exp,Data Engineer
Mechanical Maintenance Engineer (Plastic Pipes & Injection Machines),Al-Amal Al-sharif For Plastic -,"10th of Ramadan City, Cairo, Egypt","['Full Time', 'On-site']",· 2 - 5 Yrs of Exp,Data Engineer
Industrial Mechanical Engineer,TEPCO S.A.E. -,"6th of October, Giza, Egypt","['Full Time', 'On-site']",· 0 - 2 Yrs of Exp,Data Engineer
Operation Engineer Assistant,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 3+ Yrs of Exp,Data Engineer
CAD Designer Engineer (Civil / Structural / MEP Coordination),XYZ Surveying -,"Red Sea, Egypt","['Shift Based', 'On-site']",· 6 - 7 Yrs of Exp,Data Engineer
Civil Design Engineer,Cosmos -,"Sheraton, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Sales Engineer,ISP -,"Riyadh, Saudi Arabia","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Senior Electrical Tender & Studies Engineer,Confidential -,"Heliopolis, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 6 Yrs of Exp,Data Engineer
Material Planning (MRP Engineer) - East Port said,NERIC -,"Port Said, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Engineer
Senior Mechanical Tender & studies Engineer,Confidential -,"Heliopolis, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 6 Yrs of Exp,Data Engineer
Senior Electrical Technical Office Engineer,Confidential -,"Heliopolis, Cairo, Egypt","['Full Time', 'On-site']",· 5 - 7 Yrs of Exp,Data Engineer
Tendering & Cost Estimation Engineer,AEG Design & Construction -,"Sheikh Zayed, Giza, Egypt","['Full Time', 'On-site']",· 3 - 15 Yrs of Exp,Data Engineer
Cost Estimation Engineer,ADCONS -,"Cairo, Egypt","['Full Time', 'On-site']",· 2 - 8 Yrs of Exp,Data Engineer
Communication Electrical Engineer,Amer Vision Group -,"Sheraton, Cairo, Egypt","['Full Time', 'On-site']",· 5 - 7 Yrs of Exp,Data Engineer
Mechanical Technical Office Engineer - Site Based,Concrete Plus -,"Cairo, Egypt","['Full Time', 'On-site']",· 2 - 4 Yrs of Exp,Data Engineer
Mechanical Planning Engineer,System Technique -,"Abu Rawash, Giza, Egypt","['Full Time', 'On-site']",· 3 - 5 Yrs of Exp,Data Engineer
Senior React Native Developer (AI-Augmented),GigSA -,"Cairo, Egypt","['Full Time', 'On-site']",· 4+ Yrs of Exp,AI Developer
AI Developer (Python) - midlevel,Afaqy -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 3 - 6 Yrs of Exp,AI Developer
Junior Full Stack AI Native Developer-Remote,GNC Management Services -,"Cairo, Egypt","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,AI Developer
Full Stack Developer – AI Implementation Specialist,Ayvo -,"Makkah, Saudi Arabia","['Full Time', 'Remote']",· 3 - 5 Yrs of Exp,AI Developer
Junior Full Stack AI Native Developer,GNC Management Services -,"Laventille, Trinidad & Tobago","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,AI Developer
AI Engineer,Confidential -,"Sheraton, Cairo, Egypt","['Full Time', 'Part Time', 'Freelance / Project', 'Hybrid']",· 2 - 3 Yrs of Exp,AI Developer
Senior AI Engineer,Fixed Solutions -,"Cairo, Egypt","['Full Time', 'Hybrid']",· 3+ Yrs of Exp,AI Developer
AI Developer (Outsource),Prometeon tyres group – Egypt -,"Alexandria, Egypt","['Full Time', 'On-site']",· 0 - 2 Yrs of Exp,AI Developer
"Senior AI Engineer (LLM, RAG & AI Systems for CX & Enterprise Solutions)",Confidential -,"Nasr City, Cairo, Egypt","['Part Time', 'Freelance / Project', 'Remote']",· 2 - 6 Yrs of Exp,AI Developer
Tech Lead / Principal Engineer – Full‑Stack & AI Systems,Makkook.AI -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 8 - 20 Yrs of Exp,AI Developer
Senior AI Engineer (LLM Systems & RAG),Seha Care -,"Sheraton, Cairo, Egypt","['Full Time', 'Part Time', 'Freelance / Project', 'Remote']",· 3 - 7 Yrs of Exp,AI Developer
Marketing & Growth Specialist (AI Focus),EXODIA AI Technologies -,"Cairo, Egypt","['Full Time', 'Remote']",· 1 - 2 Yrs of Exp,AI Developer
AI Engineer (LLM & AI Applications),Exab -,"Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,AI Developer
Senior Business Development Manager,Makkook.AI -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,AI Developer
Lead AI Systems Architect & Automation Head,StorPros -,"San Jose, United States","['Full Time', 'Remote']",· 3 - 7 Yrs of Exp,AI Developer
AI Automation & Systems Engineer,Big Life Journal -,"Cairo, Egypt","['Full Time', 'Remote']",· 0 - 2 Yrs of Exp,AI Developer
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt","['Full Time', 'Hybrid']",· 0 - 3 Yrs of Exp,AI Developer
"AI Engineer (Computer Vision, Speech, NLP & Generative AI)",Madar Soft -,"Fleming, Alexandria, Egypt","['Full Time', 'Remote']",· 3 - 5 Yrs of Exp,AI Developer
Junior AI Automation Specialist (WhatsApp & Business Automation) – Remote,Queens Wear -,"Cairo, Egypt","['Full Time', 'Remote']",· 4 - 15 Yrs of Exp,AI Developer
AI & Data Automation Lead,Al monairy -,"10th of Ramadan City, Sharqia, Egypt","['Full Time', 'On-site']",· 2 - 5 Yrs of Exp,AI Developer
Software Engineer (Technical Content),"CC Global Group, LLC -","New Cairo, Cairo, Egypt","['Full Time', 'Remote']",No Exp,AI Developer
Medical Content Creator,Nasaaem Medical Group -,"New Cairo, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,AI Developer
Senior Digital Marketing Specialist (AI-Driven),Roaya -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,AI Developer
Senior AI / LLM Engineer,Tafeel -,"Nasr City, Cairo, Egypt","['Full Time', 'On-site']",· 4 - 7 Yrs of Exp,AI Developer
AI & Data Science Engineer,Raya Distribution -,"Cairo, Egypt","['Full Time', 'On-site']",· 1+ Yrs of Exp,AI Developer
Executive Administrative Assistant - GM,Al-Tayseer International Mills & Food Industries -,"Cairo, Egypt","['Full Time', 'On-site']",· 5+ Yrs of Exp,AI Developer
Jr Product Designer (AI-Driven Products),Roaya -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 0 - 2 Yrs of Exp,AI Developer
Software Development Project Manager,Qanawat -,"Mokattam, Cairo, Egypt","['Full Time', 'On-site']",· 5 - 10 Yrs of Exp,AI Developer
AI Instructor,Electro Pi -,"Maadi, Cairo, Egypt","['Freelance / Project', 'On-site']",· 3+ Yrs of Exp,AI Developer
AI Engineer,Confidential -,"Cairo, Egypt","['Full Time', 'Hybrid']",· 3 - 5 Yrs of Exp,AI Developer
Senior PHP Laravel Developer,AXON -,"Maadi, Cairo, Egypt","['Full Time', 'On-site']",· 5 - 7 Yrs of Exp,AI Developer
Tech lead,TUBA -,"6th of October, Giza, Egypt","['Full Time', 'On-site']",· 5 - 7 Yrs of Exp,AI Developer
Media Buyer - Remotely,Barq -,"Dokki, Giza, Egypt","['Part Time', 'Remote']",· 3 - 5 Yrs of Exp,AI Developer
Sales Agent,Vibe Travel -,"Dokki, Giza, Egypt","['Full Time', 'On-site']",· 1 - 2 Yrs of Exp,AI Developer
Business Development & Partnerships Lead (iCareer),BasharSoft -,"Cairo, Egypt","['Full Time', 'Hybrid']",· 6 - 9 Yrs of Exp,AI Developer
Senior UX Designer,Link Development -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 3 - 6 Yrs of Exp,AI Developer
Social Media & Digital Marketing Specialist,Confidential -,"Cairo, Egypt","['Full Time', 'On-site']",· 2 - 5 Yrs of Exp,AI Developer
WordPress Webmaster,Confidential -,"Hartford, United States","['Full Time', 'Remote']",· 3 - 7 Yrs of Exp,AI Developer
HR Director,Outlook -,"6th of October, Giza, Egypt","['Full Time', 'On-site']",· 3 - 9 Yrs of Exp,AI Developer
Backend Developer,Confidential -,"Khobar, Saudi Arabia","['Full Time', 'Hybrid']",· 3+ Yrs of Exp,AI Developer
Digital Marketing Specialist & WebMaster,Confidential -,"Cairo, Egypt","['Full Time', 'Remote']",· 4 - 10 Yrs of Exp,AI Developer
Senior Project Manager,BasharSoft -,"Cairo, Egypt","['Full Time', 'On-site']",· 6 - 9 Yrs of Exp,AI Developer
Software Engineer,Confidential -,"Cairo, Egypt","['Full Time', 'Part Time', 'Remote']",· 0 - 8 Yrs of Exp,AI Developer
Project Manager,Newvision -,"Muscat, Oman","['Full Time', 'On-site']",· 5+ Yrs of Exp,AI Developer
Junior Sales Development Representative,Mission Hire (legal name Tri Foundation) -,"Hebron, Palestine","['Full Time', 'Remote']",· 1 - 3 Yrs of Exp,AI Developer
Middle Data Scientist,Vertex Technologies -,"Cairo, Egypt","['Full Time', 'On-site']",· 2+ Yrs of Exp,Data Scientist
Senior Data Scientist,Vertex Technologies -,"Cairo, Egypt","['Full Time', 'On-site']",· 5+ Yrs of Exp,Data Scientist
Senior Data Scientist,Egabi FSI -,"Sheraton, Cairo, Egypt","['Full Time', 'On-site']",· 3+ Yrs of Exp,Data Scientist
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt","['Full Time', 'Hybrid']",· 0 - 3 Yrs of Exp,Data Scientist
Data Scientist,Aman -,"Maadi, Cairo, Egypt","['Full Time', 'Hybrid']",· 2 - 4 Yrs of Exp,Data Scientist
Senior Data Engineer,GB Corp -,"Giza, Egypt","['Full Time', 'On-site']",· 3 - 7 Yrs of Exp,Data Scientist
Full Stack Developer,Ibn Sina Pharma -,"Obour City, Cairo, Egypt","['Full Time', 'Hybrid']",· 1 - 3 Yrs of Exp,Data Scientist
R&D Methodology Senior Specialist,Global Napi Pharmaceuticals -,"6th of October, Giza, Egypt","['Full Time', 'On-site']",· 2 - 4 Yrs of Exp,Data Scientist
AI Developer (Outsource),Prometeon tyres group – Egypt -,"Alexandria, Egypt","['Full Time', 'On-site']",· 0 - 2 Yrs of Exp,Data Scientist
PHP Full Stack Developer,Mora Communications Company -,"New Cairo, Cairo, Egypt","['Full Time', 'On-site']",· 5 - 10 Yrs of Exp,Data Scientist
